"DESHOTEL","DESSEGMENTO","FECESTADIAHUESPED","FECCORTE","FLAG_STG","ROOM_REVENUE","ROOM_NIGHT"
"Tambo del Inka","LEISURE",30/12/18,21/11/18,"1",40432.44,61
"Tambo del Inka","LEISURE",24/12/18,21/11/18,"1",18178,59
"Tambo del Inka","LEISURE",10/01/19,21/11/18,"1",1403,6
"Tambo del Inka","LEISURE",26/12/18,21/11/18,"1",12112.6,29
"Tambo del Inka","LEISURE",04/06/19,21/11/18,"1",5061,19
"Tambo del Inka","SPG",31/12/18,21/11/18,"1",1768.12,15
"Tambo del Inka","RETAIL",26/12/18,21/11/18,"1",11453.61,21
"Tambo del Inka","OTHER",01/12/18,21/11/18,"1",0,6
"Tambo del Inka","LEISURE",09/04/19,21/11/18,"1",2347.75,9
"Tambo del Inka","LEISURE",15/05/19,21/11/18,"1",2730.3,8
"Tambo del Inka","LEISURE",03/01/19,21/11/18,"1",7012,32
"Tambo del Inka","SPG",19/12/18,21/11/18,"1",630.09,6
"Tambo del Inka","RETAIL",31/12/18,21/11/18,"1",22006.32,37
"Tambo del Inka","LEISURE",28/07/19,21/11/18,"1",0,0
"Tambo del Inka","LEISURE",10/06/19,21/11/18,"1",4547.8,16
"Tambo del Inka","RETAIL",21/04/19,21/11/18,"1",4046.72,10
"Tambo del Inka","RETAIL",22/04/19,21/11/18,"1",3907.42,10
"Tambo del Inka","SPG",22/12/18,21/11/18,"1",1076.06,9
"Tambo del Inka","SPG",04/06/19,21/11/18,"1",634,5
"Tambo del Inka","LEISURE",02/05/19,21/11/18,"1",4282.82,20
"Tambo del Inka","SPG",17/04/19,21/11/18,"1",1019.92,8
"Tambo del Inka","LEISURE",07/07/19,21/11/18,"1",1302,4
"Tambo del Inka","SPG",11/04/19,21/11/18,"1",551,4
"Tambo del Inka","RETAIL",14/01/19,21/11/18,"1",264.62,2
"Tambo del Inka","LEISURE",23/04/19,21/11/18,"1",7786.46,29
"Tambo del Inka","LEISURE",02/04/19,21/11/18,"1",3072,13
"Tambo del Inka","RETAIL",07/01/19,21/11/18,"1",1003.17,5
"Tambo del Inka","LEISURE",11/12/18,21/11/18,"1",928,4
"Tambo del Inka","OTHER",17/01/19,21/11/18,"1",0,1
"Tambo del Inka","OTHER",25/01/19,21/11/18,"1",0,1
"Tambo del Inka","OTHER",29/12/18,21/11/18,"1",0,1
"Tambo del Inka","OTHER",11/01/19,21/11/18,"1",0,1
"Tambo del Inka","OTHER",23/12/18,21/11/18,"1",0,3
"Tambo del Inka","OTHER",05/01/19,21/11/18,"1",0,1
"Tambo del Inka","OTHER",11/02/19,21/11/18,"1",0,2
"Tambo del Inka","LEISURE",27/05/19,21/11/18,"1",3909.9,16
"Tambo del Inka","RETAIL",21/12/18,21/11/18,"1",5647.94,18
"Tambo del Inka","LEISURE",21/07/19,21/11/18,"1",495,2
"Tambo del Inka","LEISURE",14/02/19,21/11/18,"1",381,2
